type,word,wordgroup,wordvalue,flags,CultureId,numericvalue
0,version,0,0,4,25,0
1,утра,4,37,0,25,0
1,ночи,4,37,0,25,0
1,пополуночи,4,37,0,25,0
1,после полуночи,4,37,0,25,0
1,вечера,4,38,0,25,0
1,час дня,4,38,64,25,0
1,часа дня,4,38,0,25,0
1,часов дня,4,38,0,25,0
1,пополудни,4,38,0,25,0
1,час,9,39,320,25,0
1,часа,9,39,256,25,0
1,часов,9,39,256,25,0
1,-мя,9,39,0,25,0
1,в,9,40,0,25,0
1,во,9,40,0,25,0
1,и,9,40,36,25,0
1,этот,1,3,0,25,0
1,это,1,3,0,25,0
1,этого,1,3,0,25,0
1,этим,1,3,0,25,0
1,этом,1,3,0,25,0
1,этому,1,3,0,25,0
1,эта,1,3,0,25,0
1,этой,1,3,0,25,0
1,эту,1,3,0,25,0
1,эти,1,3,0,25,0
1,этих,1,3,0,25,0
1,этим,1,3,0,25,0
1,этими,1,3,0,25,0
1,следующий,1,2,0,25,0
1,следующего,1,2,0,25,0
1,следующему,1,2,0,25,0
1,следующем,1,2,0,25,0
1,следующим,1,2,0,25,0
1,следующая,1,2,0,25,0
1,следующую,1,2,0,25,0
1,следующей,1,2,0,25,0
1,следующее,1,2,0,25,0
1,следующие,1,2,0,25,0
1,следующих,1,2,0,25,0
1,следующими,1,2,0,25,0
1,на следующий,1,2,512,25,0
1,на последующий,1,2,512,25,0
1,на следующую,1,2,512,25,0
1,на последующую,1,2,512,25,0
1,на следующие,1,2,512,25,0
1,на последующие,1,2,512,25,0
1,прошлый,1,1,0,25,0
1,прошлого,1,1,0,25,0
1,прошлым,1,1,0,25,0
1,прошлому,1,1,0,25,0
1,прошлом,1,1,0,25,0
1,прошлая,1,1,0,25,0
1,прошлую,1,1,0,25,0
1,прошлой,1,1,0,25,0
1,прошлое,1,1,0,25,0
1,прошлые,1,1,0,25,0
1,прошлых,1,1,0,25,0
1,прошлыми,1,1,0,25,0
1,на предыдущий,1,1,512,25,0
1,на предшествующий,1,1,512,25,0
1,на предыдущую,1,1,512,25,0
1,на предшествующую,1,1,512,25,0
1,на предыдущие,1,1,512,25,0
1,на предшествующие,1,1,512,25,0
1,без,7,77,0,25,0
1,четверть,11,50,0,25,0
1,четвертью,11,50,0,25,0
1,четверти,11,50,0,25,0
1,пол,11,51,0,25,0
1,полчаса,11,51,0,25,0
1,сегодня вечером,6,21,0,25,0
1,минута,2,64,64,25,0
1,минуты,2,64,64,25,0
1,минуте,2,64,64,25,0
1,минуту,2,64,64,25,0
1,за минуту,2,64,64,25,0
1,минутой,2,64,64,25,0
1,минут,2,64,0,25,0
1,минутам,2,64,0,25,0
1,минутами,2,64,0,25,0
1,минутах,2,64,0,25,0
1,минутный,2,64,0,25,0
1,минутного,2,64,0,25,0
1,минутному,2,64,0,25,0
1,минутным,2,64,0,25,0
1,минутном,2,64,0,25,0
1,минутное,2,64,0,25,0
1,минутная,2,64,0,25,0
1,минутной,2,64,0,25,0
1,минутную,2,64,0,25,0
1,минутные,2,64,0,25,0
1,минутных,2,64,0,25,0
1,минутными,2,64,0,25,0
1,за час,2,65,64,25,0
1,часу,2,65,64,25,0
1,часом,2,65,64,25,0
1,часе,2,65,64,25,0
1,часы,2,65,0,25,0
1,часам,2,65,0,25,0
1,часами,2,65,0,25,0
1,часах,2,65,0,25,0
1,часовой,2,65,0,25,0
1,часового,2,65,0,25,0
1,часовому,2,65,0,25,0
1,часовым,2,65,0,25,0
1,часовом,2,65,0,25,0
1,часовое,2,65,0,25,0
1,часовая,2,65,0,25,0
1,часовую,2,65,0,25,0
1,часовые,2,65,0,25,0
