docid,c0parent_class,c1child_class,c2parent_title,c3child_title
-2145411713,com.android.settings.DisplaySettings,com.samsung.android.settings.display.KeyboardBacklightDurationSettings,Display,Keyboard backlight duration
-2142505173,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Autofill
-2127930711,com.samsung.accessibility.dexterity.AccessibilitySettingsMobility,com.samsung.accessibility.Activities$AccessibilitySettingsMobilityActivity,Interaction and dexterity,Tap duration
-2127223483,com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,Notifications,Auto-reverse text color
-2126919681,com.samsung.android.settings.connection.WirelessSettings,com.samsung.android.settings.smartbonding.SmartBondingSettings,More connection settings,Download booster
-2121760103,com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Network diagnostics
-2118187866,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Other call settings,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Other call settings,Other call settings,Show caller information
-2117196769,com.samsung.accessibility.homepage.AccessibilitySettings,com.samsung.accessibility.dexterity.AccessibilitySettingsMobility,Accessibility,Interaction and dexterity
-2116091999,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Answering and ending calls,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Answering and ending calls,Answering and ending calls,Answer automatically
-2107762428,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Bluetooth PBAP version
-2098945537,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,Advanced settings,Notification history
-2098655433,com.samsung.android.settings.inputmethod.PhysicalKeyboardFragment,com.samsung.android.settings.inputmethod.PhysicalKeyboardFragment,Physical keyboard,Show on-screen keyboard in Samsung DeX
-2091438298,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Force 4x MSAA
-2089729906,com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Switch to mobile data
-2087230981,com.samsung.android.settings.lockscreen.LockScreenSettings,com.samsung.android.settings.lockscreen.LockScreenSettings,Lock screen,Screen lock type
-2085230752,com.android.settings.notification.zen.ZenModeSettings,com.android.settings.notification.zen.ZenModeSettings,Do not disturb,For how long?
-2078834171,com.samsung.android.settings.display.SecFontSizePreferenceFragment,com.samsung.android.settings.display.SecFontStylePreferenceFragment,Font size and style,Font style
-2078411164,com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Customization Service
-2069745751,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Smooth Display
-2065983752,com.samsung.android.gallery.settings.activity.SettingActivity,com.samsung.android.gallery.settings.activity.SettingActivity,Gallery settings,Notifications
-2064081384,com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.Status,Status information,Serial number
-2052941602,com.samsung.android.app.settings.SettingsActivity,com.samsung.android.app.settings.SettingsActivity,Screenshots and screen recorder,Hide status and navigation bars
-2049897663,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Color correction
-2047538340,com.samsung.android.app.settings.SettingsActivity,com.samsung.android.app.settings.SettingsActivity,Screenshots and screen recorder,Screenshot format
-2047193405,com.samsung.accessibility.vision.viewclear.magnifier.ToggleMagnifierPreferenceFragment,com.samsung.accessibility.Activities$MagnifierWindowActivity,Magnifier window,Ignore diagonal movements
-2044909267,com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,Faster recognition
-2044299764,com.samsung.android.honeyboard.settings.swipetouchandfeedback.defaultactivity.SwipeTouchGestureFeedBackSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.backspacespeed.BackspaceDeleteSpeedSettings,"Swipe, touch, and feedback",Backspace speed
-2040732772,com.samsung.android.settings.nfc.NfcSettings,com.samsung.android.settings.nfc.NfcSettings,NFC and contactless payments,NFC payment services
-2040085189,com.samsung.android.app.telephonyui.netsettings.ui.NetSettingsActivity,com.samsung.android.app.telephonyui.netsettings.ui.NetSettingsActivity,Mobile networks,Network operators
-2034671174,com.samsung.android.settings.autopoweronoff.AutoPowerOnOffSettings,com.samsung.android.settings.autopoweronoff.AutoPowerOnOffSettings,Auto turn on/off,Set a schedule for your device to be automatically turned on or off.
-2027259138,com.android.settings.applications.specialaccess.SpecialAccessSettings,com.android.settings.datausage.UnrestrictedDataAccess,Special access,Allowed to use data while Data saver is on
-2026126919,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,Developer settings,Echo recognized speech
-2024419232,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.activekey.ActiveKeySettings,Advanced features,Active key
