RecordId,formal,alias
1,af,아 프 리 칸 스 어
2,af-ZA,아 프 리 칸 스 어
3,ar,아 랍 어
4,ar-AE,아 랍 에 미 리 트 어
5,ar-AE,아 랍 에 미 리 트 아 랍 어
6,ar-AE,아 랍 에 미 리 트 식 아 랍 어
7,ar-AE,아 랍 에 미 리 트 식 아 랍 어
8,ar-BH,바 레 인 어
9,ar-BH,바 레 인 아 랍 어
10,ar-BH,바 레 인 식 아 랍 어
11,ar-BH,바 레 인 식 아 랍 어
12,ar-DZ,알 제 리 어
13,ar-DZ,알 제 리 아 랍 어
14,ar-DZ,알 제 리 식 아 랍 어
15,ar-DZ,알 제 리 식 아 랍 어
16,ar-EG,이 집 트 어
17,ar-EG,이 집 트 아 랍 어
18,ar-EG,이 집 트 식 아 랍 어
19,ar-EG,이 집 트 식 아 랍 어
20,ar-IQ,이 라 크 어
21,ar-IQ,이 라 크 아 랍 어
22,ar-IQ,이 라 크 식 아 랍 어
23,ar-IQ,이 라 크 식 아 랍 어
24,ar-JO,요 르 단 어
25,ar-JO,요 르 단 아 랍 어
26,ar-JO,요 르 단 식 아 랍 어
27,ar-JO,요 르 단 식 아 랍 어
28,ar-KW,쿠 웨 이 트 어
29,ar-KW,쿠 웨 이 트 아 랍 어
30,ar-KW,쿠 웨 이 트 식 아 랍 어
31,ar-KW,쿠 웨 이 트 식 아 랍 어
32,ar-LB,레 바 논 어
33,ar-LB,레 바 논 아 랍 어
34,ar-LB,레 바 논 식 아 랍 어
35,ar-LB,레 바 논 식 아 랍 어
36,ar-LY,리 비 아 어
37,ar-LY,리 비 아 아 랍 어
38,ar-LY,리 비 아 식 아 랍 어
39,ar-LY,리 비 아 식 아 랍 어
40,ar-MA,모 로 코 어
41,ar-MA,모 로 코 아 랍 어
42,ar-MA,모 로 코 식 아 랍 어
43,ar-MA,모 로 코 식 아 랍 어
44,ar-OM,오 만 어
45,ar-OM,오 만 아 랍 어
46,ar-OM,오 만 식 아 랍 어
47,ar-OM,오 만 식 아 랍 어
48,ar-QA,카 타 르 어
49,ar-QA,카 타 르 아 랍 어
50,ar-QA,카 타 르 식 아 랍 어
51,ar-QA,카 타 르 식 아 랍 어
52,ar-SA,사 우 디 아 라 비 아 어
53,ar-SA,사 우 디 아 라 비 아 아 랍 어
54,ar-SA,사 우 디 아 라 비 아 식 아 랍 어
55,ar-SA,사 우 디 아 라 비 아 식 아 랍 어
56,ar-SY,시 리 아 어
57,ar-SY,시 리 아 아 랍 어
58,ar-SY,시 리 아 식 아 랍 어
59,ar-SY,시 리 아 식 아 랍 어
60,ar-TN,튀 니 지 어
61,ar-TN,튀 니 지 아 랍 어
62,ar-TN,튀 니 지 식 아 랍 어
63,ar-TN,튀 니 지 식 아 랍 어
64,ar-YE,예 멘 어
65,ar-YE,예 멘 어
66,ar-YE,예 멘 말
67,ar-YE,예 멘 말
68,az-AZ,아 제 르 바 이 잔 어
69,az-AZ,아 제 르 바 이 잔 어
70,az-AZ,아 제 르 바 이 잔 말
71,az-AZ,아 제 르 바 이 잔 말
72,be-BY,벨 라 루 스 어
73,be-BY,벨 라 루 스 어
74,be-BY,벨 라 루 스 말
75,be-BY,벨 라 루 스 말
76,bg-BG,불 가 리 아 어
77,bg-BG,불 가 리 아 어
78,bg-BG,불 가 리 아 말
79,bg-BG,불 가 리 아 말
80,bs-BA,보 스 니 아 어
81,bs-BA,보 스 니 아 어
82,bs-BA,보 스 니 아 말
83,bs-BA,보 스 니 아 말
84,bs-BA,헤 르 체 고 비 나 어
85,bs-BA,헤 르 체 고 비 나 어
86,bs-BA,헤 르 체 고 비 나 말
87,bs-BA,헤 르 체 고 비 나 말
88,ca-ES,카 탈 로 니 아 어
89,ca-ES,카 탈 로 니 아 어
90,ca-ES,카 탈 로 니 아 말
91,ca-ES,카 탈 로 니 아 말
92,cs-CZ,체 코 어
93,cs-CZ,체 코 말
94,cy-GB,웨 일 스 어
95,cy-GB,웨 일 스 어
96,cy-GB,웨 일 스 말
97,cy-GB,웨 일 스 말
98,da-DK,덴 마 크 어
99,da-DK,덴 마 크 말
100,de-AT,오 스 트 리 아 어
101,de-AT,오 스 트 리 아 어
102,de-AT,오 스 트 리 아 말
103,de-AT,오 스 트 리 아 말
104,de-AT,오 스 트 리 아 식 독 일 어
105,de-AT,오 스 트 리 아 식 독 일 어
106,de-CH,스 위 스 어
107,de-CH,스 위 스 어
108,de-CH,스 위 스 말
109,de-CH,스 위 스 말
110,de-CH,스 위 스 식 독 일 어
111,de-CH,스 위 스 식 독 일 어
112,de-DE,독 일 어
113,de-DE,독 일 말
114,de-DE,하 이 츠
115,de-DE,도 이 츠
116,de-LI,리 히 텐 슈 타 인 어
117,de-LI,리 히 텐 슈 타 인 어
118,de-LI,리 히 텐 슈 타 인 말
119,de-LI,리 히 텐 슈 타 인 말
