RecordId,formal,alias
1,0,영 분
2,0,영 영 분
3,1,일 분
4,1,일 분
5,2,이 분
6,2,이 분
7,3,삼 분
8,3,삼 분
9,4,사 분
10,4,사 분
11,5,오 분
12,5,오 분
13,6,육 분
14,6,육 분
15,7,칠 분
16,7,칠 분
17,8,팔 분
18,8,팔 분
19,9,구 분
20,9,구 분
21,10,십 분
22,10,십 분
23,11,십 일 분
24,11,십 일 분
25,12,십 이 분
26,12,십 이 분
27,13,십 삼 분
28,13,십 삼 분
29,14,십 사 분
30,14,십 사 분
31,15,십 오 분
32,15,십 오 분
33,16,십 육 분
34,16,십 육 분
35,17,십 칠 분
36,17,십 칠 분
37,18,십 팔 분
38,18,십 팔 분
39,19,십 구 분
40,19,십 구 분
41,20,이 십 분
42,20,이 십 분
43,21,이 십 일 분
44,21,이 십 일 분
45,22,이 십 이 분
46,22,이 십 이 분
47,23,이 십 삼 분
48,23,이 십 삼 분
49,24,이 십 사 분
50,24,이 십 사 분
51,25,이 십 오 분
52,25,이 십 오 분
53,26,이 십 육 분
54,26,이 십 육 분
55,27,이 십 칠 분
56,27,이 십 칠 분
57,28,이 십 팔 분
58,28,이 십 팔 분
59,29,이 십 구 분
60,29,이 십 구 분
61,30,삼 십 분
62,30,삼 십 분
63,30,반
64,31,삼 십 일 분
65,31,삼 십 일 분
66,32,삼 십 이 분
67,32,삼 십 이 분
68,33,삼 십 삼 분
69,33,삼 십 삼 분
70,34,삼 십 사 분
71,34,삼 십 사 분
72,35,삼 십 오 분
73,35,삼 십 오 분
74,36,삼 십 육 분
75,36,삼 십 육 분
76,37,삼 십 칠 분
77,37,삼 십 칠 분
78,38,삼 십 팔 분
79,38,삼 십 팔 분
80,39,삼 십 구 분
81,39,삼 십 구 분
82,40,사 십 분
83,40,사 십 분
84,41,사 십 일 분
85,41,사 십 일 분
86,42,사 십 이 분
87,42,사 십 이 분
88,43,사 십 삼 분
89,43,사 십 삼 분
90,44,사 십 사 분
91,44,사 십 사 분
92,45,사 십 오 분
93,45,사 십 오 분
94,46,사 십 육 분
95,46,사 십 육 분
96,47,사 십 칠 분
97,47,사 십 칠 분
98,48,사 십 팔 분
99,48,사 십 팔 분
100,49,사 십 구 분
101,49,사 십 구 분
102,50,오 십 분
103,50,오 십 분
104,51,오 십 일 분
105,51,오 십 일 분
106,52,오 십 이 분
107,52,오 십 이 분
108,53,오 십 삼 분
109,53,오 십 삼 분
110,54,오 십 사 분
111,54,오 십 사 분
112,55,오 십 오 분
113,55,오 십 오 분
114,56,오 십 육 분
115,56,오 십 육 분
116,57,오 십 칠 분
117,57,오 십 칠 분
118,58,오 십 팔 분
119,58,오 십 팔 분
120,59,오 십 구 분
121,59,오 십 구 분
