RecordId,formal,alias
1,1,일 년
2,1,일 년 동 안
3,1,일 년 정 도
4,1,일 년 간
5,1,일 년 동 안
6,1,일 년 정 도
7,1,일 년 간
8,1,일 년
9,1,일 년 동 안
10,1,일 년 정 도
11,1,일 년 간
12,1,일 년 동 안
13,1,일 년 정 도
14,1,일 년 간
15,1,한 해
16,1.5,1 년 반
17,1.5,1 년 반 동 안
18,1.5,1 년 반 정 도
19,1.5,1 년 반 동 안
20,1.5,1 년 반 정 도
21,1.5,1 년 반
22,1.5,1 년 반 동 안
23,1.5,1 년 반 정 도
24,1.5,1 년 반 동 안
25,1.5,1 년 반 정 도
26,1.5,일 년 반
27,1.5,일 년 반 동 안
28,1.5,일 년 반 정 도
29,1.5,일 년 반 동 안
30,1.5,일 년 반 정 도
31,1.5,일 년 반
32,1.5,일 년 반 동 안
33,1.5,일 년 반 정 도
34,1.5,일 년 반 동 안
35,1.5,일 년 반 정 도
36,1.5,일 년 반
37,1.5,일 년 반 동 안
38,1.5,일 년 반 정 도
39,1.5,일 년 반 동 안
40,1.5,일 년 반 정 도
41,2,이 년
42,2,이 년 동 안
43,2,이 년 정 도
44,2,이 년 간
45,2,이 년 동 안
46,2,이 년 정 도
47,2,이 년 간
48,2,이 년
49,2,이 년 동 안
50,2,이 년 정 도
51,2,이 년 간
52,2,이 년 동 안
53,2,이 년 정 도
54,2,이 년 간
55,2.5,2 년 반
56,2.5,2 년 반 동 안
57,2.5,2 년 반 정 도
58,2.5,2 년 반 동 안
59,2.5,2 년 반 정 도
60,2.5,2 년 반
61,2.5,2 년 반 동 안
62,2.5,2 년 반 정 도
63,2.5,2 년 반 동 안
64,2.5,2 년 반 정 도
65,2.5,이 년 반
66,2.5,이 년 반 동 안
67,2.5,이 년 반 정 도
68,2.5,이 년 반 동 안
69,2.5,이 년 반 정 도
70,2.5,이 년 반
71,2.5,이 년 반 동 안
72,2.5,이 년 반 정 도
73,2.5,이 년 반 동 안
74,2.5,이 년 반 정 도
75,2.5,이 년 반
76,2.5,이 년 반 동 안
77,2.5,이 년 반 정 도
78,2.5,이 년 반 동 안
79,2.5,이 년 반 정 도
80,3,삼 년
81,3,삼 년 동 안
82,3,삼 년 정 도
