RecordId,formal,alias
1,MAX,최 대
2,MAX,최 대 값
3,MAX,최 대 치
4,MAX,최 고
5,MAX,맥 스
6,MAX,맥 시 멈
7,MAX,최 대 한
8,MAX,최 대 로
9,MAX,최 대 의
10,MAX,최 대 화
11,MAX,매 우 큰
12,MAX,매 우 크 게
13,MAX,매 우 커 다 란
14,MAX,아 주 큰
15,MAX,아 주 크 게
16,MAX,아 주 커 다 란
17,MAX,제 일 크 게
18,MAX,제 일 큰
19,MAX,제 일 커 다 란
20,MAX,가 장 큰
21,MAX,가 장 크 게
22,MAX,가 장 커 다 란
23,MAX,완 전 큰
24,MAX,완 전 크 게
25,MAX,완 전 커 다 란
26,MAX,엄 청 큰
27,MAX,엄 청 크 게
28,MAX,엄 청 커 다 란
29,MAX,짱 큰
30,MAX,짱 크 게
31,MAX,짱 커 다 란
32,MIN,최 소
33,MIN,최 저
34,MIN,미 니
35,MIN,미 니 멈
36,MIN,최 솟 값
37,MIN,최 소 치
38,MIN,최 소 한
39,MIN,최 소 의
40,MIN,최 소 화
41,MIN,최 소 로
42,MIN,매 우 작 은
43,MIN,매 우 작 게
44,MIN,매 우 조 그 만
45,MIN,매 우 조 그 마 한
46,MIN,아 주 작 은
47,MIN,아 주 작 게
48,MIN,아 주 조 그 만
49,MIN,아 주 조 그 마 한
50,MIN,제 일 작 은
51,MIN,제 일 작 게
52,MIN,제 일 조 그 만
53,MIN,제 일 조 그 마 한
54,MIN,가 장 작 은
55,MIN,가 장 작 게
56,MIN,가 장 조 그 마 한
57,MIN,완 전 작 은
58,MIN,완 전 작 게
59,MIN,완 전 조 그 만
60,MIN,완 전 조 그 마 한
61,MIN,엄 청 작 은
62,MIN,엄 청 작 게
63,MIN,엄 청 조 그 만
64,MIN,엄 청 조 그 마 한
65,MIN,짱 작 은
66,MIN,짱 작 게
67,MIN,짱 조 그 만
68,MIN,짱 조 그 마 한
69,MIN,최 대 로 작 게
70,MID,중 간
71,MID,보 통
72,MID,기 본
