RecordId,formal,alias
1,1,하 나
2,11,열 하 나
3,11,열 하 나
4,21,스 물 하 나
5,21,스 물 하 나
6,31,서 른 하 나
7,31,서 른 하 나
8,41,마 흔 하 나
9,41,마 흔 하 나
10,51,쉰 하 나
11,51,쉰 하 나
12,61,예 순 하 나
13,61,예 순 하 나
14,71,일 흔 하 나
15,71,일 흔 하 나
16,81,여 든 하 나
17,81,여 든 하 나
18,91,아 흔 하 나
19,91,아 흔 하 나
20,414,414
21,3.9,3.9
22,15,15
23,123,123
24,456,456
25,3,3
26,6000,6000
27,5997,5997
28,10,10
29,24,24
30,2,2
31,1414141414,1414141414
32,1145141919,1145141919
33,4,4
34,1.75,1.75
35,253,253
36,3.55,3.55
37,12,12
38,100,100
39,1,1
40,6.3,6.3
41,5.6,5.6
42,13,13
43,55,55
44,1.9,1.9
45,5,5
46,9,9
47,60,60
48,11,11
49,49,마 흔 아 홉
50,12,열 둘
51,50,50
52,6,6
53,604,604
54,0.5,0.5
55,1.6,1.6
56,16,16
57,623,623
58,121,121
59,94,94
60,0.3,0.3
61,102,102
62,107,107
63,92,92
64,7.5,7.5
65,0,0
66,2,둘
67,3,셋
68,6.43,6.43
69,2.4,2.4
70,0.6,0.6
71,39,39
72,17,17
73,1320,1320
74,19,19
75,0.1,0.1
76,115,115
77,5.3,5.3
78,5.5,5.5
79,1.2,1.2
80,0.2,0.2
81,101,101
82,1.1,1.1
83,77,77
84,113,113
85,103,103
86,8,8
87,10.69,10.69
88,45,45
89,1.4,1.4
90,1004,1004
91,3000,3000
92,256,256
93,56.8,56.8
94,14,14
95,22,22
96,36,36
97,200,200
98,1.56,1.56
99,52,쉰 둘
100,3821,3821
101,442,442
102,13,열 셋
103,122,122
104,52,52
105,10.6,10.6
106,1,한
107,2,두
108,0.01,0.01
109,42,42
110,96.5,96.5
111,61,61
112,23,23
113,7.4,7.4
114,26,26
115,4.2,4.2
116,65,65
117,18,18
118,254,254
119,3.5,3.5
120,1.5,1.5
121,1.8,1.8
122,3.2,3.2
123,8112,8112
124,90,90
125,3.3,3.3
126,129,129
127,112,112
128,3.16,3.16
129,15.3,15.3
130,23456,23456
131,67,67
132,99,99
133,33,33
134,5.2,5.2
135,999,999
136,987,987
137,654,654
138,69,69
139,5.4,5.4
140,120,120
141,2048,2048
142,20,20
143,7,7
144,180,180
145,600,600
146,400,400
147,9999,9999
148,95,95
149,93,93
150,3.14,3.14
151,5,다 섯
152,89,89
153,1500,1500
154,2.8,2.8
155,11.3,11.3
156,314755,314755
157,123456,123456
158,1200,1200
159,300,300
160,2500,2500
161,56,56
162,76,76
163,0.7,0.7
164,155,155
165,5.82,5.82
166,32,32
167,63,63
168,1.3,1.3
169,6.5,6.5
170,25,25
171,0.03,0.03
172,150,150
173,10.3,10.3
174,3500,3500
175,104,104
176,3.077777,3.077777
177,9.77778787974767475797673787978,9.77778787974767475797673787978
178,105,105
179,3.33,3.33
180,1.52,1.52
181,30,30
182,75,75
183,39.65,39.65
184,21,21
185,3,삼
186,3,세
187,1700,1700
188,1111,1111
