RecordId,formal,alias
1,000,.000
2,001,.001
3,002,.002
4,003,.003
5,004,.004
6,005,.005
7,006,.006
8,007,.007
9,008,.008
10,009,.009
11,010,.010
12,011,.011
13,012,.012
14,013,.013
15,014,.014
16,015,.015
17,016,.016
18,017,.017
19,018,.018
20,019,.019
21,020,.020
22,021,.021
23,022,.022
24,023,.023
25,024,.024
26,025,.025
27,026,.026
28,027,.027
29,028,.028
30,029,.029
31,030,.030
32,031,.031
33,032,.032
34,033,.033
35,034,.034
36,035,.035
37,036,.036
38,037,.037
39,038,.038
40,039,.039
41,040,.040
42,041,.041
43,042,.042
44,043,.043
45,044,.044
46,045,.045
47,046,.046
48,047,.047
49,048,.048
50,049,.049
51,050,.050
52,051,.051
53,052,.052
54,053,.053
55,054,.054
56,055,.055
57,056,.056
58,057,.057
59,058,.058
60,059,.059
61,060,.060
62,061,.061
63,062,.062
64,063,.063
65,064,.064
66,065,.065
67,066,.066
68,067,.067
69,068,.068
70,069,.069
71,070,.070
72,071,.071
73,072,.072
74,073,.073
75,074,.074
76,075,.075
77,076,.076
78,077,.077
79,078,.078
80,079,.079
81,080,.080
82,081,.081
83,082,.082
84,083,.083
85,084,.084
86,085,.085
87,086,.086
88,087,.087
89,088,.088
90,089,.089
91,090,.090
92,091,.091
93,092,.092
94,093,.093
95,094,.094
96,095,.095
97,096,.096
98,097,.097
99,098,.098
100,099,.099
101,100,.100
102,101,.101
103,102,.102
104,103,.103
105,104,.104
106,105,.105
107,106,.106
108,107,.107
109,108,.108
110,109,.109
111,110,.110
112,111,.111
113,112,.112
114,113,.113
115,114,.114
116,115,.115
117,116,.116
118,117,.117
119,118,.118
120,119,.119
121,120,.120
122,121,.121
123,122,.122
124,123,.123
125,124,.124
126,125,.125
127,126,.126
128,127,.127
129,128,.128
130,129,.129
131,130,.130
132,131,.131
133,132,.132
134,133,.133
135,134,.134
136,135,.135
137,136,.136
138,137,.137
139,138,.138
140,139,.139
141,140,.140
142,141,.141
143,142,.142
144,143,.143
145,144,.144
146,145,.145
147,146,.146
148,147,.147
149,148,.148
150,149,.149
151,150,.150
152,151,.151
153,152,.152
154,153,.153
155,154,.154
156,155,.155
157,156,.156
158,157,.157
159,158,.158
160,159,.159
161,160,.160
162,161,.161
163,162,.162
164,163,.163
165,164,.164
166,165,.165
167,166,.166
168,167,.167
169,168,.168
170,169,.169
171,170,.170
172,171,.171
173,172,.172
174,173,.173
175,174,.174
176,175,.175
177,176,.176
178,177,.177
179,178,.178
180,179,.179
181,180,.180
182,181,.181
183,182,.182
184,183,.183
185,184,.184
186,185,.185
187,186,.186
188,187,.187
189,188,.188
190,189,.189
191,190,.190
192,191,.191
193,192,.192
194,193,.193
195,194,.194
196,195,.195
197,196,.196
198,197,.197
199,198,.198
200,199,.199
201,200,.200
202,201,.201
203,202,.202
204,203,.203
205,204,.204
206,205,.205
207,206,.206
208,207,.207
209,208,.208
210,209,.209
211,210,.210
212,211,.211
213,212,.212
214,213,.213
215,214,.214
216,215,.215
217,216,.216
218,217,.217
219,218,.218
220,219,.219
221,220,.220
222,221,.221
223,222,.222
224,223,.223
225,224,.224
226,225,.225
227,226,.226
228,227,.227
229,228,.228
230,229,.229
231,230,.230
232,231,.231
233,232,.232
234,233,.233
235,234,.234
236,235,.235
237,236,.236
238,237,.237
239,238,.238
240,239,.239
241,240,.240
242,241,.241
243,242,.242
244,243,.243
245,244,.244
246,245,.245
247,246,.246
248,247,.247
249,248,.248
250,249,.249
251,250,.250
252,251,.251
253,252,.252
254,253,.253
255,254,.254
256,255,.255
257,256,.256
258,257,.257
259,258,.258
260,259,.259
261,260,.260
262,261,.261
263,262,.262
264,263,.263
265,264,.264
266,265,.265
267,266,.266
268,267,.267
269,268,.268
270,269,.269
271,270,.270
272,271,.271
273,272,.272
274,273,.273
275,274,.274
276,275,.275
277,276,.276
278,277,.277
279,278,.278
280,279,.279
281,280,.280
282,281,.281
283,282,.282
284,283,.283
285,284,.284
286,285,.285
287,286,.286
288,287,.287
289,288,.288
290,289,.289
291,290,.290
292,291,.291
293,292,.292
294,293,.293
295,294,.294
296,295,.295
297,296,.296
298,297,.297
299,298,.298
300,299,.299
301,300,.300
302,301,.301
303,302,.302
304,303,.303
305,304,.304
306,305,.305
307,306,.306
308,307,.307
309,308,.308
310,309,.309
311,310,.310
312,311,.311
313,312,.312
314,313,.313
315,314,.314
316,315,.315
317,316,.316
318,317,.317
319,318,.318
320,319,.319
321,320,.320
322,321,.321
323,322,.322
324,323,.323
325,324,.324
326,325,.325
327,326,.326
328,327,.327
329,328,.328
330,329,.329
331,330,.330
332,331,.331
333,332,.332
334,333,.333
335,334,.334
336,335,.335
337,336,.336
338,337,.337
339,338,.338
340,339,.339
341,340,.340
342,341,.341
343,342,.342
