RecordId,formal,alias
1,Approximately,about
2,Approximately,approximately
3,Approximately,around
4,Approximately,ish
5,Approximately,sometime around
6,Approximately,sometime near
7,Approximately,towards
8,Approximately,toward
9,Exactly,as the clock strikes
10,Exactly,at the stroke of
11,Exactly,exactly
12,Exactly,precisely
13,Exactly,the minute the clock strikes
14,Exactly,the moment the clock strikes
15,Exactly,the second the clock strikes
16,TightApproximately,just about
17,TightApproximately,right around
18,TightApproximately,within instants of
19,TightApproximately,within moments of
