RecordId,formal,alias
1,plus,더 하 기
2,plus,합
3,plus,플 러 스
4,plus,더 해
5,plus,합 해
6,plus,더 한
7,plus,더 해 줘
8,plus,더 해 줄 래
9,plus,합 해 줘
10,plus,합 해 줄 래
11,plus,더 해 봐
12,plus,더 하 고
13,plus,더 하 면
14,plus,더 해 볼 래
15,plus,합 해 볼 래
16,plus,더 하 고 싶 어
17,plus,덧 셈 해 줘
18,plus,더 할 래
19,plus,더 해 서
20,plus,더 해 줘
21,plus,+
22,minus,빼 기
23,minus,차
24,minus,마 이 너 스
25,minus,마 이 나 스
26,minus,빼 줘
27,minus,빼 고
28,minus,빼 줄 래
29,minus,빼 봐
30,minus,빼 면
31,minus,빼 볼 래
32,minus,빼 고 싶 어
33,minus,빼
34,minus,뺄 셈 해 줘
35,minus,뺀
36,minus,빼 줘 볼 래
37,minus,빼 서
38,minus,-
39,multiply,곱 하 기
40,multiply,배
41,multiply,곱
42,multiply,곱 해
43,multiply,곱 하 고
44,multiply,곱 한
45,multiply,곱 해 줘
46,multiply,곱 해 줄 래
47,multiply,곱 해 봐
48,multiply,곱 하 면
49,multiply,곱 해 볼 래
50,multiply,곱 하 고 싶 어
51,multiply,곱 셈 해 줘
52,multiply,*
53,multiply,×
54,divide,나 누 기
55,divide,나 눠
56,divide,나 눠 줘
57,divide,나 누 어 줘
58,divide,나 눠 줄 래
59,divide,나 누 어 줄 래
60,divide,나 누 고
61,divide,나 누 면
62,divide,나 눠 서
63,divide,나 눠 볼 래
64,divide,나 누 고 싶 어
65,divide,나 눗 셈 해 줘
66,divide,나 눗 셈 해 줘
67,divide,나 눈
68,divide,/
69,divide,÷
