RecordId,formal,alias
1,1,일 일
2,1,일 일 동 안
3,1,일 일 정 도
4,1,일 일 간
5,1,일 일 동 안
6,1,일 일 정 도
7,1,일 일 간
8,1,일 일
9,1,일 일 동 안
10,1,일 일 정 도
11,1,일 일 간
12,1,일 일 동 안
13,1,일 일 정 도
14,1,일 일 간
15,1,하 루
16,1,하 루 동 안
17,1,하 루 정 도
18,1,하 루 간
19,1,하 루 동 안
20,1,하 루 정 도
21,1,하 루 간
22,1,날
23,2,이 일
24,2,이 일 동 안
25,2,이 일 정 도
26,2,이 일 간
27,2,이 일 동 안
28,2,이 일 정 도
29,2,이 일 간
30,2,이 일
31,2,이 일 동 안
32,2,이 일 정 도
33,2,이 일 간
34,2,이 일 동 안
35,2,이 일 정 도
36,2,이 일 간
37,2,이 틀
38,2,이 틀 동 안
39,2,이 틀 정 도
40,2,이 틀 간
41,2,이 틀 동 안
42,2,이 틀 정 도
43,2,이 틀 간
44,3,삼 일
45,3,삼 일 동 안
46,3,삼 일 정 도
47,3,삼 일 간
48,3,삼 일 동 안
49,3,삼 일 정 도
50,3,삼 일 간
51,3,삼 일
52,3,삼 일 동 안
53,3,삼 일 정 도
54,3,삼 일 간
55,3,삼 일 동 안
56,3,삼 일 정 도
57,3,삼 일 간
58,3,사 흘
59,3,사 흘 동 안
60,3,사 흘 정 도
61,3,사 흘 간
62,3,사 흘 동 안
63,3,사 흘 정 도
64,3,사 흘 간
65,3,며 칠
66,3,며 칠 동 안
67,3,며 칠 정 도
68,3,며 칠 간
69,3,며 칠 동 안
70,3,며 칠 정 도
71,3,며 칠 간
72,4,사 일
73,4,사 일 동 안
74,4,사 일 정 도
75,4,사 일 간
76,4,사 일 동 안
77,4,사 일 정 도
78,4,사 일 간
79,4,사 일
80,4,사 일 동 안
81,4,사 일 정 도
82,4,사 일 간
83,4,사 일 동 안
84,4,사 일 정 도
85,4,사 일 간
86,4,나 흘
87,4,나 흘 동 안
88,4,나 흘 정 도
89,4,나 흘 간
90,4,나 흘 동 안
91,4,나 흘 정 도
92,4,나 흘 간
93,5,오 일
94,5,오 일 동 안
95,5,오 일 정 도
96,5,오 일 간
97,5,오 일 동 안
98,5,오 일 정 도
99,5,오 일 간
100,5,오 일
101,5,오 일 동 안
102,5,오 일 정 도
103,5,오 일 간
104,5,오 일 동 안
105,5,오 일 정 도
106,5,오 일 간
107,5,닷 새
108,5,닷 새 동 안
109,5,닷 새 정 도
110,5,닷 새 간
111,5,닷 새 동 안
112,5,닷 새 정 도
113,5,닷 새 간
114,6,육 일
115,6,육 일 동 안
116,6,육 일 정 도
117,6,육 일 간
118,6,육 일 동 안
119,6,육 일 정 도
120,6,육 일 간
121,6,육 일
122,6,육 일 동 안
123,6,육 일 정 도
124,6,육 일 간
125,6,육 일 동 안
126,6,육 일 정 도
127,6,육 일 간
128,6,엿 새
129,6,엿 새 동 안
130,6,엿 새 정 도
131,6,엿 새 간
132,6,엿 새 동 안
133,6,엿 새 정 도
134,6,엿 새 간
135,7,칠 일
136,7,칠 일 동 안
137,7,칠 일 정 도
138,7,칠 일 간
139,7,칠 일 동 안
140,7,칠 일 정 도
141,7,칠 일 간
142,7,칠 일
143,7,칠 일 동 안
144,7,칠 일 정 도
145,7,칠 일 간
146,7,칠 일 동 안
147,7,칠 일 정 도
148,7,칠 일 간
149,8,팔 일
150,8,팔 일 동 안
151,8,팔 일 정 도
152,8,팔 일 간
153,8,팔 일 동 안
154,8,팔 일 정 도
155,8,팔 일 간
156,8,팔 일
157,8,팔 일 동 안
158,8,팔 일 정 도
159,8,팔 일 간
160,8,팔 일 동 안
161,8,팔 일 정 도
162,8,팔 일 간
163,9,구 일
164,9,구 일 동 안
165,9,구 일 정 도
166,9,구 일 간
167,9,구 일 동 안
168,9,구 일 정 도
169,9,구 팔 일 간
170,9,구 일
171,9,구 일 동 안
172,9,구 일 정 도
173,9,구 일 간
174,9,구 일 동 안
175,9,구 일 정 도
176,9,구 일 간
177,10,십 일
178,10,십 일 동 안
179,10,십 일 정 도
180,10,십 일 간
181,10,십 일 동 안
182,10,십 일 정 도
183,10,십 일 간
184,10,십 일
185,10,십 일 동 안
186,10,십 일 정 도
187,10,십 일 간
188,10,십 일 동 안
189,10,십 일 정 도
190,10,십 일 간
191,10,열 흘
192,10,열 흘 동 안
193,10,열 흘 정 도
194,10,열 흘 간
195,10,열 흘 동 안
196,10,열 흘 정 도
197,10,열 흘 간
198,15,보 름
199,15,보 름 정 도
200,15,보 름 정 도
201,20,이 십 일
202,20,이 십 일 동 안
203,20,이 십 일 정 도
204,20,이 십 일 간
205,20,이 십 일 동 안
206,20,이 십 일 정 도
207,20,이 십 일 간
208,20,이 십 일
209,20,이 십 일 동 안
210,20,이 십 일 정 도
211,20,이 십 일 간
212,20,이 십 일 동 안
213,20,이 십 일 정 도
214,20,이 십 일 간
215,20,스 무 날
216,20,스 무 날 동 안
217,20,스 무 날 정 도
218,20,스 무 날 간
219,20,스 무 날 동 안
220,20,스 무 날 정 도
