RecordId,formal,alias
1,true,응
2,true,어
3,true,어 보 내
4,true,어 보 내 줘
5,true,보 내 주 라
6,true,그 래
7,true,네
8,true,네 보 내 세 요
9,true,예
10,true,보 내 줘
11,true,보 내 주 세 요
12,true,응 보 내 줘
13,true,보 내 줘
14,true,엉
15,true,보 내 기
16,true,전 송
17,true,응 전 송 해 줘
18,true,전 송 해 줘
19,true,응 전 송 해
20,true,전 송 해
21,true,발 신 해
22,true,발 신 해 줘
23,true,그 래 보 내
24,true,발 신
25,true,보 내
26,true,옙
27,true,넵
28,true,예 스
29,true,예 쓰
30,true,좋 아
31,true,진 행 해
32,true,오 케 이
33,true,확 인
34,false,아 니
35,false,아 니 야
36,false,아 니 요
37,false,아 니 오
38,false,아 니 욥
39,false,아 니 하 지 마
40,false,아 니 보 내 지 마
41,false,보 내 지 마
42,false,보 내 지 마
43,false,보 내 지 마 세 요
44,false,보 내 지 마 요
45,false,안 보 내
46,false,안 보 낼 래
47,false,안 보 낼 거 야
48,false,안 보 낼 거 야
49,false,취 소
50,false,취 소 해 줘
51,false,취 소 해
52,false,취 소 해 주 세 요
53,false,취 소 할 거 야
54,false,취 소 할 래
55,false,캔 슬
56,false,전 송 하 지 마
57,false,전 송 안 할 거 야
58,false,전 송 안 할 거 야
59,false,전 송 안 할 거 야
60,false,전 송 안 할 래
61,false,발 신 하 지 마
62,false,발 신 안 할 거 야
63,false,발 신 안 할 거 야
64,false,발 신 안 할 거 야
65,false,발 신 안 할 래
66,false,노 노
67,false,노
68,false,노 우
69,false,하 지 마
70,false,하 지 마
71,false,싫 어
72,false,싫 어 요
73,false,중 지
74,false,중 단
75,false,안 해
76,false,됐 어
77,false,그 만 해
