RecordId,formal,alias
1,0,영 시
2,0,영 시
3,0,공 공 시
4,0,공 공 시
5,1,한 시
6,1,한 시
7,1,공 일 시
8,1,공 일 시
9,2,두 시
10,2,두 시
11,2,공 이 시
12,2,공 이 시
13,3,세 시
14,3,세 시
15,3,공 삼 시
16,3,공 삼 시
17,4,네 시
18,4,네 시
19,4,공 사 시
20,4,공 사 시
21,5,다 섯 시
22,5,다 섯 시
23,5,공 오 시
24,5,공 오 시
25,6,여 섯 시
26,6,여 섯 시
27,6,공 육 시
28,6,공 육 시
29,7,일 곱 시
30,7,일 곱 시
31,7,공 칠 시
32,7,공 칠 시
33,8,여 덟 시
34,8,여 덟 시
35,8,공 팔 시
36,8,공 팔 시
37,9,아 홉 시
38,9,아 홉 시
39,9,공 구 시
40,9,공 구 시
41,10,열 시
42,10,열 시
43,10,십 시
44,10,십 시
45,11,열 한 시
46,11,열 한 시
47,11,십 일 시
48,11,십 일 시
49,12,열 두 시
50,12,열 두 시
51,12,십 이 시
52,12,십 이 시
53,13,열 세 시
54,13,열 세 시
55,13,십 삼 시
56,13,십 삼 시
57,14,열 네 시
58,14,열 네 시
59,14,십 사 시
60,14,십 사 시
61,15,열 다 섯 시
62,15,열 다 섯 시
63,15,십 오 시
64,15,십 오 시
65,16,열 여 섯 시
66,16,열 여 섯 시
67,16,십 육 시
68,16,십 육 시
69,17,열 일 곱 시
70,17,열 일 곱 시
71,17,십 칠 시
72,17,십 칠 시
73,18,열 여 덟 시
74,18,열 여 덟 시
75,18,십 팔 시
76,18,십 팔 시
77,19,열 아 홉 시
78,19,열 아 홉 시
79,19,십 구 시
80,19,십 구 시
81,20,이 십 시
82,20,이 십 시
83,21,이 십 일 시
84,21,이 십 일 시
85,22,이 십 이 시
86,22,이 십 이 시
87,23,이 십 삼 시
88,23,이 십 삼 시
