RecordId,formal,alias
1,Etc/GMT-0,greenwich
2,Etc/GMT-0,greenwich mean
3,Etc/GMT-0,gmt
4,Etc/GMT-0,utc
5,Etc/GMT-0,universal
6,Etc/GMT-0,coordinated universal
7,Etc/GMT-0,azores summer time
8,Etc/GMT-0,eastern greenland summer time
9,Etc/GMT-0,greenwich mean time
10,Etc/GMT-0,coordinated universal time
11,Etc/GMT-0,western european time
12,Etc/GMT+1,bst
13,Etc/GMT+1,bdt
14,Etc/GMT+1,bdst
15,Etc/GMT+1,british summer time
16,Etc/GMT+1,central european time
17,Etc/GMT+1,irish standard time
18,Etc/GMT+1,middle european time
19,Etc/GMT+1,west africa time
20,Etc/GMT+2,central africa time
21,Etc/GMT+2,central european summer time
22,Etc/GMT+2,eastern european time
23,Etc/GMT+2,heure avancée d'europe centrale
24,Etc/GMT+2,israel standard time
25,Etc/GMT+2,middle european summer time
26,Etc/GMT+2,south african standard time
27,Etc/GMT+2,west africa summer time
28,Etc/GMT+2,europe/kaliningrad
29,Etc/GMT+2,kalingrad time
30,Etc/GMT+3,arabia standard time
31,Etc/GMT+3,east africatime
32,Etc/GMT+3,eastern european summer time
33,Etc/GMT+3,further-eastern european time
34,Etc/GMT+3,israel daylight time
35,Etc/GMT+3,indian ocean time
36,Etc/GMT+3,moscow time
37,Etc/GMT+3,showa station time
38,Etc/GMT+3,turkey time
39,Iran,iran standard time
40,Iran,iran
41,Etc/GMT+4,europe/volgograd
42,Etc/GMT+4,armenia time
43,Etc/GMT+4,azerbaijan time
44,Etc/GMT+4,georgia standard time
45,Etc/GMT+4,gulf standard time
46,Etc/GMT+4,mauritius time
47,Etc/GMT+4,réunion time
48,Etc/GMT+4,samara time
49,Etc/GMT+4,seychelles time
50,Etc/GMT+4,volgograd time
51,+04:30,afghanistan time
52,+04:30,iran daylight time
53,Etc/GMT+5,heard and mcdonald islands time
54,Etc/GMT+5,mawson station time
55,Etc/GMT+5,maldives time
56,Etc/GMT+5,oral time
57,Etc/GMT+5,pakistan standard time
58,Etc/GMT+5,indian/kerguelen
59,Etc/GMT+5,tajikistan time
60,Etc/GMT+5,turkmenistan time
61,Etc/GMT+5,uzbekistan time
62,Etc/GMT+5,yekaterinburg time
63,+05:30,indian standard time
64,+05:30,sri lanka standard time
65,+05:45,nepal time  utc
66,Etc/GMT+6,british indian ocean time
67,Etc/GMT+6,bangladesh standard time
68,Etc/GMT+6,bhutan time
69,Etc/GMT+6,kyrgyzstan time
70,Etc/GMT+6,omsk time
71,Etc/GMT+6,vostok station time
72,Indian/Cocos,cocos islands time
73,Indian/Cocos,myanmar standard time
74,Etc/GMT+7,christmas island time
75,Etc/GMT+7,davis time
76,Etc/GMT+7,khovd standard time
77,Etc/GMT+7,indochina time
78,Etc/GMT+7,krasnoyarsk time
79,Etc/GMT+7,thailand standard time
80,Etc/GMT+7,western indonesian time
81,Etc/GMT+8,australian western standard time
82,Etc/GMT+8,brunei time
83,Etc/GMT+8,choibalsan standard time
84,Etc/GMT+8,central indonesia time
85,Etc/GMT+8,china standard time
86,Etc/GMT+8,china time
87,Etc/GMT+8,hong kong time
88,Etc/GMT+8,khovd summer time
89,Etc/GMT+8,irkutsk time
90,Etc/GMT+8,malaysia standard time
91,Etc/GMT+8,malaysia time
92,Etc/GMT+8,philippine time
93,Etc/GMT+8,philippine standard time
94,Etc/GMT+8,singapore time
95,Etc/GMT+8,singapore standard time
96,Etc/GMT+8,ulaanbaatar standard time
97,Etc/GMT+8,western standard time
98,Etc/GMT+9,choibalsan summer time
99,Etc/GMT+9,eastern indonesian time
