RecordId,formal,alias
1,1,한 시 간
2,1,한 시 간 동 안
3,1,한 시 간 정 도
4,1,한 시 간 동 안
5,1,한 시 간 정 도
6,1,한 시 간
7,1,한 시 간 동 안
8,1,한 시 간 정 도
9,1,한 시 간 동 안
10,1,한 시 간 정 도
11,1.5,1 시 간 반
12,1.5,1 시 간 반 동 안
13,1.5,1 시 간 반 정 도
14,1.5,1 시 간 반 동 안
15,1.5,1 시 간 반 정 도
16,1.5,1 시 간 반
17,1.5,1 시 간 반 동 안
18,1.5,1 시 간 반 정 도
19,1.5,1 시 간 반 동 안
20,1.5,1 시 간 반 정 도
21,1.5,한 시 간 반
22,1.5,한 시 간 반 동 안
23,1.5,한 시 간 반 정 도
24,1.5,한 시 간 반 동 안
25,1.5,한 시 간 반 정 도
26,1.5,한 시 간 반
27,1.5,한 시 간 반 동 안
28,1.5,한 시 간 반 정 도
29,1.5,한 시 간 반 동 안
30,1.5,한 시 간 반 정 도
31,1.5,한 시 간 반
32,1.5,한 시 간 반 동 안
33,1.5,한 시 간 반 정 도
34,1.5,한 시 간 반 동 안
35,1.5,한 시 간 반 정 도
36,2,두 시 간
37,2,두 시 간 동 안
38,2,두 시 간 정 도
39,2,두 시 간 동 안
40,2,두 시 간 정 도
41,2,두 시 간
42,2,두 시 간 동 안
43,2,두 시 간 정 도
44,2,두 시 간 동 안
45,2,두 시 간 정 도
46,2.5,2 시 간 반
47,2.5,2 시 간 반 동 안
48,2.5,2 시 간 반 정 도
49,2.5,2 시 간 반 동 안
50,2.5,2 시 간 반 정 도
51,2.5,2 시 간 반
52,2.5,2 시 간 반 동 안
53,2.5,2 시 간 반 정 도
54,2.5,2 시 간 반 동 안
55,2.5,2 시 간 반 정 도
56,2.5,두 시 간 반
57,2.5,두 시 간 반 동 안
58,2.5,두 시 간 반 정 도
59,2.5,두 시 간 반 동 안
60,2.5,두 시 간 반 정 도
61,2.5,두 시 간 반
62,2.5,두 시 간 반 동 안
63,2.5,두 시 간 반 정 도
64,2.5,두 시 간 반 동 안
65,2.5,두 시 간 반 정 도
66,2.5,두 시 간 반
67,2.5,두 시 간 반 동 안
68,2.5,두 시 간 반 정 도
69,2.5,두 시 간 반 동 안
70,2.5,두 시 간 반 정 도
71,3,세 시 간
72,3,세 시 간 동 안
73,3,세 시 간 정 도
74,3,세 시 간 동 안
75,3,세 시 간 정 도
76,3,세 시 간
77,3,세 시 간 동 안
78,3,세 시 간 정 도
79,3,세 시 간 동 안
80,3,세 시 간 정 도
81,3,몇 시 간
82,3,몇 시 간 동 안
83,3,몇 시 간 정 도
84,3,몇 시 간 동 안
85,3,몇 시 간 정 도
86,3,몇 시 간
87,3,몇 시 간 동 안
88,3,몇 시 간 정 도
89,3,몇 시 간 동 안
90,3,몇 시 간 정 도
91,3.5,3 시 간 반
92,3.5,3 시 간 반 동 안
93,3.5,3 시 간 반 정 도
94,3.5,3 시 간 반 동 안
95,3.5,3 시 간 반 정 도
96,3.5,3 시 간 반
97,3.5,3 시 간 반 동 안
98,3.5,3 시 간 반 정 도
99,3.5,3 시 간 반 동 안
100,3.5,3 시 간 반 정 도
101,3.5,세 시 간 반
102,3.5,세 시 간 반 동 안
103,3.5,세 시 간 반 정 도
104,3.5,세 시 간 반 동 안
