RecordId,formal,alias
1,0,the 0th hour
2,0,the zero hour
3,1,the 1st hour
4,1,the first hour
5,10,the 10th hour
6,10,the tenth hour
7,11,the 11th hour
8,11,the eleventh hour
9,12,the 12th hour
10,12,the twelfth hour
11,13,the 13th hour
12,13,the thirteenth hour
13,14,the 14th hour
14,14,the fourteenth hour
15,15,beer
16,15,the 15th hour
17,15,the fifteenth hour
18,16,the 16th hour
19,16,the sixteenth hour
20,17,the 17th hour
21,17,the seventeenth hour
22,18,the 18th hour
23,18,the eighteenth hour
24,19,the 19th hour
25,19,the nineteenth hour
26,2,the 2nd hour
27,2,the second hour
28,20,the 20th hour
29,20,the twentieth hour
30,21,the 21st hour
31,21,the twenty-first hour
32,22,22nd hour
33,22,the 22nd hour
34,22,the twenty-second hour
35,23,the 23rd hour
36,23,the twenty-third hour
37,3,half past a monkey’s ass
38,3,half past monkey's ass
39,3,half past monkeys ass
40,3,the 3rd hour
41,3,the third hour
42,4,the 4th hour
43,4,the fourth hour
44,5,the 5th hour
45,5,the fifth hour
46,6,the 6th hour
47,6,the sixth hour
48,7,the 7th hour
49,7,the seventh hour
50,8,the 8th hour
51,8,the eighth hour
52,9,the 9th hour
53,9,the ninth hour
