RecordId,formal,alias
1,father,father
2,father,dad
3,father,pa
4,father,papa
5,father,daddy
6,mother,mother
7,mother,mom
8,mother,ma
9,mother,mama
10,mother,mum
11,mother,mummy
12,wife,wife
13,wife,wifey
14,husband,husband
15,husband,hubby
16,paternal_grandfather,grandfather
17,paternal_grandfather,grandpa
18,paternal_grandfather,grandad
19,maternal_grandfather,grandfather
20,maternal_grandfather,grandpa
21,maternal_grandfather,grandad
22,paternal_grandmother,grandmother
23,maternal_grandmother,grandmother
24,older_brother_male,brother
25,older_brother_male,bro
26,older_brother_female,brother
27,older_brother_female,bro
28,older_sister_male,sister
29,older_sister_male,sis
30,older_sister_female,sister
31,older_sister_female,sis
32,fatherinlaw_husbandsfather,father-in-law
33,motherinlaw_husbandsmother,mother-in-law
34,fatherinlaw_wifesfather,father-in-law
35,motherinlaw_wifesmother,mother-in-law
36,younger_sister,sister
37,younger_sister,sis
38,younger_brother,brother
39,younger_brother,bro
40,son,son
41,daughter,daughter
42,soninlaw,son-in-law
43,daughterinlaw,daughter-in-law
